City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Arlit,NE,18.7369,7.3853,89.01,34,28,3.49
96,Sisimiut,GL,66.9395,-53.6735,43.5,86,98,8.66
97,Mareeba,AU,-17.0,145.4333,85.44,65,22,11.03
98,Deputatskiy,RU,69.3,139.9,34.75,67,100,5.44
99,Marrakesh,MA,31.6315,-8.0083,69.87,73,40,4.61
100,Chute-Aux-Outardes,CA,49.1168,-68.399,42.78,87,0,3.44
101,Hobart,AU,-42.8794,147.3294,58.26,52,40,8.05
102,Saldanha,ZA,-33.0117,17.9442,55.45,64,3,18.63
103,Gushikawa,JP,26.3544,127.8686,84.2,75,40,16.11
104,Ribeira Grande,PT,38.5167,-28.7,73.8,88,20,4.61
105,Victoria,HK,22.2855,114.1577,99.18,75,52,7.0
106,Kutum,SD,14.2,24.6667,78.75,48,55,9.04
107,Tokmak,UA,47.2514,35.7058,59.13,51,0,11.88
108,Butaritari,KI,3.0707,172.7902,82.44,71,10,16.4
109,Port-Gentil,GA,-0.7193,8.7815,76.96,83,40,16.11
110,Klaksvik,FO,62.2266,-6.589,47.32,74,32,14.7
111,Pisco,PE,-13.7,-76.2167,62.65,82,100,3.44
112,Ukiah,US,39.1502,-123.2078,61.16,87,100,6.91
113,Kidal,ML,18.4411,1.4078,85.51,43,62,6.44
114,Byron Bay,AU,-28.65,153.6167,75.94,55,2,10.71
115,Sao Filipe,CV,14.8961,-24.4956,77.49,76,48,7.07
116,Arraial Do Cabo,BR,-22.9661,-42.0278,64.33,78,3,1.9
117,Thunder Bay,CA,48.4001,-89.3168,53.51,100,20,4.61
118,Makakilo City,US,21.3469,-158.0858,79.12,67,0,16.11
119,Teguise,ES,29.0605,-13.564,68.22,88,40,2.3
120,Vila Velha,BR,-20.3297,-40.2925,65.95,81,0,2.3
121,Upernavik,GL,72.7868,-56.1549,34.38,73,100,2.98
122,Iturama,BR,-19.7281,-50.1956,73.06,51,3,7.54
123,Saint George,US,37.1041,-113.5841,77.25,29,0,8.05
124,Jiayuguan,CN,39.8167,98.3,74.91,22,85,14.65
125,Rio Gallegos,AR,-51.6226,-69.2181,39.25,56,0,14.97
126,Narsaq,GL,60.9167,-46.05,57.42,64,95,6.64
127,Codrington,AU,-38.2667,141.9667,55.35,79,76,10.16
128,Palmas,BR,-10.2128,-48.3603,76.87,83,0,0.0
129,Balaipungut,ID,1.05,101.2833,90.93,49,98,2.86
130,Cabo San Lucas,MX,22.8909,-109.9124,83.61,75,100,8.68
131,Tiksi,RU,71.6872,128.8694,37.56,56,62,5.26
132,Kloulklubed,PW,7.0419,134.2556,82.9,73,100,4.61
133,Zhigansk,RU,66.7697,123.3711,35.89,64,98,9.28
134,East London,ZA,-33.0153,27.9116,56.34,94,20,5.75
135,Olafsvik,IS,64.8945,-23.7142,49.84,93,100,14.41
136,Biloxi,US,30.396,-88.8853,74.03,94,0,3.44
137,Hermanus,ZA,-34.4187,19.2345,50.81,64,95,4.61
138,Port Alfred,ZA,-33.5906,26.891,56.17,92,100,5.01
139,Riyadh,SA,24.6877,46.7219,96.94,13,0,8.68
140,Husavik,IS,66.0449,-17.3389,49.41,77,91,10.76
141,Mackay,AU,-21.15,149.2,80.69,78,27,12.12
142,Khasan,RU,42.4308,130.6434,65.37,45,54,17.74
143,Hasaki,JP,35.7333,140.8333,84.6,84,83,22.26
144,Barra,BR,-11.0894,-43.1417,73.11,68,13,10.89
145,Nioro,GM,13.35,-15.75,72.82,95,99,3.18
146,Esperance,AU,-33.8667,121.9,58.84,71,23,13.67
147,Vigrestad,NO,58.5667,5.7,50.59,76,9,18.84
148,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,100,23.02
149,Dikson,RU,73.5069,80.5464,33.82,66,70,16.53
150,Pevek,RU,69.7008,170.3133,32.16,94,100,16.13
151,Anadyr,RU,64.75,177.4833,41.5,86,75,6.71
152,Maarianhamina,AX,60.0973,19.9348,51.66,93,75,9.22
153,Airai,TL,-8.9266,125.4092,74.37,53,87,1.43
154,Limon,CR,10.0,-83.0333,76.05,80,100,5.77
155,Korla,CN,41.7597,86.1469,81.14,12,33,4.41
156,Hualmay,PE,-11.0964,-77.6139,60.64,87,66,9.06
157,Coihaique,CL,-45.5752,-72.0662,35.55,100,100,2.3
